"uri_hls";"name";"definition";"birthdate";"new_uri_wikidata";"gv_uri_wikidata";"new_uri_idref";"gv_uri_idref";"new_uri_viaf";"gv_uri_viaf"
"https://hls-dhs-dss.ch/articles/010501";"Jakob Ammann";"Swiss Brethren minister from whom the Amish received their name";"(1644, 2, 1)";"http://www.wikidata.org/entity/Q124060";"http://www.wikidata.org/entity/Q124060";"";"";"http://viaf.org/viaf/11070248";"http://viaf.org/viaf/11070248"
"https://hls-dhs-dss.ch/articles/009083";"Francesco Borromini";"architect from Ticino and leading figure in Roman Baroque architecture (1599-1667)";"(1599, 9, 25)";"http://www.wikidata.org/entity/Q123150";"http://www.wikidata.org/entity/Q123150";"http://www.idref.fr/033048746/id";"";"http://viaf.org/viaf/7474084";"http://viaf.org/viaf/7474084"
"https://hls-dhs-dss.ch/articles/009213";"Georges Oltramare";"Swiss writer, journalist and politician (1896-1960)";"(1896, 4, 17)";"http://www.wikidata.org/entity/Q124570";"http://www.wikidata.org/entity/Q124570";"http://www.idref.fr/067026362/id";"";"http://viaf.org/viaf/61595633";"http://viaf.org/viaf/61595633"
"https://hls-dhs-dss.ch/articles/009053";"Ignaz Paul Vital Troxler";"Swiss psychologist (1780-1866)";"(1780, 8, 17)";"http://www.wikidata.org/entity/Q686050";"";"http://www.idref.fr/028764145/id";"http://www.idref.fr/028764145/id";"http://viaf.org/viaf/56628552";""
"https://hls-dhs-dss.ch/articles/002828";"Robert Durrer";"Swiss engineer (1890-1978)";"(1890, 11, 18)";"http://www.wikidata.org/entity/Q3435010";"http://www.wikidata.org/entity/Q3435010";"http://www.idref.fr/084180854/id";"";"http://viaf.org/viaf/112217102";"http://viaf.org/viaf/112217102"
"https://hls-dhs-dss.ch/articles/031826";"Louis Curchod";"Swiss engineer";"(1826, 10, 7)";"http://www.wikidata.org/entity/Q6686949";"http://www.wikidata.org/entity/Q6686949";"";"";"http://viaf.org/viaf/315074172";"http://viaf.org/viaf/315074172"
"https://hls-dhs-dss.ch/articles/010508";"Benedictus Aretius";"Swiss Protestant theologian and natural philosopher (1522-1574)";"(1505, 1, 1)";"http://www.wikidata.org/entity/Q122572";"http://wikidata.org/entity/Q122572";"http://www.idref.fr/076932869/id";"http://www.idref.fr/076932869/id";"http://viaf.org/viaf/89027095";""
"https://hls-dhs-dss.ch/articles/016681";"Samuel Frisching";"Swiss politician (1638-1721)";"(1638, 6, 27)";"http://www.wikidata.org/entity/Q2218287";"http://www.wikidata.org/entity/Q2218287";"";"";"http://viaf.org/viaf/80442477";"http://viaf.org/viaf/80442477"
"https://hls-dhs-dss.ch/articles/030921";"Jakob Heusser-Staub";"(1862-1941)";"(1862, 3, 3)";"http://www.wikidata.org/entity/Q17352830";"http://www.wikidata.org/entity/Q17352830";"";"";"http://viaf.org/viaf/64804961";"http://viaf.org/viaf/64804961"
"https://hls-dhs-dss.ch/articles/029174";"Johann Jakob Thurneysen";"(1754-1803)";"(1754, 3, 21)";"http://www.wikidata.org/entity/Q62091517";"http://wikidata.org/entity/Q62091517";"http://www.idref.fr/15833096X/id";"http://www.idref.fr/15833096X/id";"http://viaf.org/viaf/59327468";""
